trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
950,False,"{'a': 0.5, 'e': 0.08002495237480867}",20,5,23.321191818782967,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 0.078459095727845}",20,8,22.65233963294837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.5, 'e': 0.07689304549086177}",25,17,15.168033632105864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.5, 'e': 0.07532680552793275}",25,11,26.32130922368459,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.5, 'e': 0.07376037970359887}",20,8,8.544002178682812,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
955,False,"{'a': 0.5, 'e': 0.0721937718828606}",35,22,18.658715685444694,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.5, 'e': 0.07062698593116656}",30,16,24.81159143524488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.5, 'e': 0.06906002571440577}",20,12,14.657347498155069,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
958,False,"{'a': 0.5, 'e': 0.0674928950988966}",30,17,28.489471704338804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.5, 'e': 0.0659255979513778}",20,6,25.899427368208023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 0.06435813813899977}",30,12,29.109864601891093,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.5, 'e': 0.06279051952931329}",20,10,16.334063713206938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
962,False,"{'a': 0.5, 'e': 0.061222745990261944}",20,6,27.626370850185502,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.5, 'e': 0.0596548213901706}",30,12,-8.000784996480741,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
964,False,"{'a': 0.5, 'e': 0.05808674959773781}",20,8,23.845974737399604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.0565185344820244}",30,19,10.926132006522803,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
966,False,"{'a': 0.5, 'e': 0.05495017991244572}",25,13,0.4779613044954538,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.053381689758760544}",20,12,-26.378138643955182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
968,False,"{'a': 0.5, 'e': 0.05181306789106218}",20,14,10.222224386521404,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.0502443181797696}",25,16,14.92555072239022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 0.04867544449561633}",35,27,15.429977855256633,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.5, 'e': 0.04710645070964268}",25,2,35.59499275070775,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.5, 'e': 0.04553734069318439}",30,7,40.884070177080766,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.5, 'e': 0.043968118317864895}",20,16,7.088555695678835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 0.04239878745558397}",20,8,22.10368720817516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.5, 'e': 0.04082935197850996}",25,14,17.33131293244948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 0.03925981575906867}",30,12,32.75849212131745,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.5, 'e': 0.03769018266993448}",25,14,7.933585962305769,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 0.03612045658402144}",25,18,14.040096438497928,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.5, 'e': 0.03455064137447218}",20,3,30.17675938082303,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.5, 'e': 0.032980740914650135}",20,13,12.902074825275978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
981,False,"{'a': 0.5, 'e': 0.03141075907812818}",20,13,13.481957047608594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 0.029840699738680868}",20,14,9.516869787424005,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.5, 'e': 0.02827056677027311}",20,14,13.261888352023929,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 0.026700364047052363}",20,16,6.644482798818312,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.5, 'e': 0.02513009544333753}",20,16,7.877007832718668,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 0.02355976483361008}",30,17,23.784593215016915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.5, 'e': 0.021989376092505133}",25,13,22.848057533461073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
988,False,"{'a': 0.5, 'e': 0.02041893309480036}",30,12,36.799485493578594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.5, 'e': 0.018848439715408175}",25,14,20.932202176195037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.5, 'e': 0.017277899829364445}",20,8,21.87296611207346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.5, 'e': 0.015707317311820648}",20,6,30.64134578052183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.5, 'e': 0.014136696038032803}",25,13,22.350773297745498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
